"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 04 04:48:58 GMT 2024","Wed Dec 04 04:49:01 GMT 2024","3391","","スモークテスト","","","","Webサイトを開きログインする",""
"passed","Wed Dec 04 04:48:58 GMT 2024","Wed Dec 04 04:48:58 GMT 2024","522","","スモークテスト","","","","example.com にアクセスする",""
